Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2001,Число женщин на 1 января,Лысьвенский район,49319,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Лысьвенский район', 49319);"
1,01.01.2001,Число женщин на 1 января,г. Соликамск,53354,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'г. Соликамск', 53354);"
1,01.01.2001,Число женщин на 1 января,Чайковский район,59436,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чайковский район', 59436);"
1,01.01.2002,Число женщин на 1 января,Пермский край,1540425,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Пермский край', 1540425);"
1,01.01.2002,Число женщин на 1 января,Бардымский район,15427,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Бардымский район', 15427);"
1,01.01.2002,Число женщин на 1 января,Березовский район,9850,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Березовский район', 9850);"
1,01.01.2002,Число женщин на 1 января,Большесосновский район,8794,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Большесосновский район', 8794);"
1,01.01.2002,Число женщин на 1 января,Верещагинский район,25511,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Верещагинский район', 25511);"
1,01.01.2002,Число женщин на 1 января,Горнозаводский район,17709,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Горнозаводский район', 17709);"
1,01.01.2002,Число женщин на 1 января,Еловский район,7394,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Еловский район', 7394);"
1,01.01.2002,Число женщин на 1 января,Ильинский район,12761,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Ильинский район', 12761);"
1,01.01.2002,Число женщин на 1 января,Карагайский район,13825,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Карагайский район', 13825);"
1,01.01.2002,Число женщин на 1 января,Кишертский район,8765,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кишертский район', 8765);"
1,01.01.2002,Число женщин на 1 января,Красновишерский район,15470,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Красновишерский район', 15470);"
1,01.01.2002,Число женщин на 1 января,Куединский район,17834,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Куединский район', 17834);"
1,01.01.2002,Число женщин на 1 января,Кунгурский район,25245,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Кунгурский район', 25245);"
1,01.01.2002,Число женщин на 1 января,Нытвенский район,27367,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Нытвенский район', 27367);"
1,01.01.2002,Число женщин на 1 января,Октябрьский район,20491,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Октябрьский район', 20491);"
